3d,3d,44.4383919935
let,know,21.2620955396
mail,mail,19.3657506616
's,'s,15.3051761136
dbo,dbo,12.9600486665
file,file,12.8390499025
enron,enron,10.616290901
quicken,excite,10.1965340945
investments,symbol,10.1963334368
excite,investments,10.1963334368
dbo,lkpcalendar,10.0985298519
dbo,definitions,9.99898707411
quicken,symbol,9.9984652638
excite,symbol,9.9984652638
quicken,investments,9.99826063231
guy,'s,9.95746990212
's,friend,9.80622865529
's,bright,9.71994206189
next,week,9.71647792844
definitions,dbo,9.69431496155
bright,guy,9.6419956558
state,'s,9.62822608252
bright,'s,9.61651127972
north,america,9.53446896168
friend,'s,9.4953799428
friend,guy,9.43126705884
guy,friend,9.43126705884
dorland,chris,9.37430783295
content,encoding,9.32368419372
transfer,encoding,9.32348765864
content,transfer,9.32312566846
friend,bright,9.21783541136
lkpcalendar,dbo,9.16407689696
chris,dorland,9.1584741837
origin,filename,9.05221956747
exmerge,origin,9.05221956747
exmerge,filename,9.05221956747
encoding,exmerge,9.05206514938
folder,filename,9.05206514938
mime,encoding,9.05206514938
folder,exmerge,9.05206514938
folder,origin,9.05206514938
encoding,folder,9.05190319871
content,exmerge,9.05175631322
mime,content,9.05175631322
content,folder,9.05157929737
mime,transfer,9.05156329062
transfer,exmerge,9.05156329062
transfer,folder,9.05137685903
mime,version,9.05082980473
version,folder,9.05060759335
version,encoding,9.05060759335
items,filename,9.05059817761
items,origin,9.05059817761
exmerge,items,9.05059817761
folder,items,9.05036466734
encoding,items,9.05036466734
version,content,9.05016317057
version,transfer,9.04988540634
encoding,7bit,8.94103364949
content,7bit,8.94073241595
transfer,7bit,8.94054414499
lkpcalendar,definitions,8.88759006772
enron,north,8.85126002357
dorland,dorland,8.82810725421
file,denverpost,8.81327124306
enron,houston,8.80577600164
enron,america,8.79665548981
smith,houston,8.76056287752
enron,services,8.71191994755
enron,'s,8.68370447577
7bit,exmerge,8.6570651331
mime,7bit,8.6570651331
7bit,folder,8.65690957677
mime,folder,8.65678257192
exmerge,dorland,8.65674220603
folder,dorland,8.65657089717
version,7bit,8.65566512613
version,exmerge,8.65549086366
7bit,items,8.65543179164
special,session,8.59790120804
enron,smith,8.50024504179
's,guy,8.43515917321
7bit,origin,8.42287227088
transfer,items,8.4199388102
html,file,8.34168964827
enron,corp,8.33026973439
symbol,excite,8.24435011022
symbol,quicken,8.24435011022
edison,'s,8.22843826244
did,n't,8.18099687015
natural,gas,8.17439195899
file,html,8.03640677926
bright,friend,7.99803042188
october,october,7.99219658823
index,index,7.93318856893
give,call,7.90427125531
stories,html,7.87054169443
denverpost,file,7.78934177436
dbo,lkpmod,7.74531285156
denverpost,html,7.74190935677
session,session,7.73893900402
importance,high,7.67731613988
file,stories,7.66268370729
file,sections,7.59799897701
did,did,7.56934272846
denverpost,stories,7.54700205647
california,state,7.51125626151
jhtml,list,7.48142454811
n't,know,7.45002901847
let,'s,7.38837298604
state,contracts,7.38534086916
last,week,7.37285985946
',',7.33286572742
gas,gas,7.27941781927
california,'s,7.2515080231
commission,'s,7.24162098371
let,questions,7.20038538884
stories,file,7.19143709429
know,questions,7.17401980602
epmi,term,7.13872777581
guy,guy,7.13779651625
origin,dorland,7.13716970693
file,enron,7.06967712191
energycentral,sections,7.06913068993
dbo,load,7.06879969711
dorland,filename,7.06676671387
html,denverpost,7.06662322335
items,dorland,7.06456371245
exmerge,chris,7.06291055704
folder,chris,7.06251264217
file,energycentral,7.0555708364
houston,texas,7.04970882689
edison,edison,7.04397101505
call,questions,7.00579048042
fortune,list,6.99615097906
business,units,6.99089024444
file,cfm,6.98465263804
file,research,6.9757511681
dbo,mod,6.927512826
sections,cfm,6.9262649295
symbol,investments,6.92569266927
investments,quicken,6.92569266927
investments,excite,6.92569266927
sections,research,6.92514071505
list,list,6.91284204277
did,like,6.86032947502
research,cfm,6.85319831175
chairman,ceo,6.85075756923
session,special,6.85010338805
ca,n't,6.82977962045
week,october,6.78684369482
lkpmod,dbo,6.78158324425
lkpcalendar,lkpcalendar,6.78155998723
definitions,lkpcalendar,6.78153798735
definitions,definitions,6.7815153589
guy,bright,6.77997662425
html,stories,6.77830589031
state,power,6.71484691462
friend,friend,6.70443597124
file,jpg,6.69635287136
state,state,6.64908526226
power,state,6.63997517209
's,going,6.63614074745
bright,bright,6.63176881151
energycentral,cfm,6.63161070855
quicken,quicken,6.63093587884
excite,quicken,6.63093587884
symbol,symbol,6.63093587884
excite,excite,6.63093587884
load,dbo,6.63083176226
energycentral,research,6.6306601627
mail,shea,6.63065052228
investments,investments,6.6302777592
id,id,6.55306708239
mark,mark,6.51004439647
enron,texas,6.48929825088
explorer,msn,6.47987237697
term,epmi,6.47776472404
business,unit,6.46889666249
energy,commission,6.45194400215
let,need,6.4316080901
like,let,6.43094756288
's,power,6.4220905405
winmail,dat,6.40292050474
de,de,6.40022404258
know,need,6.38999487563
like,know,6.38911590635
make,sure,6.38541880084
real,time,6.38108781656
questions,call,6.33103748414
symbol,msgs,6.32374644334
investments,msgs,6.32363859307
quotes,quicken,6.32338244869
quotes,symbol,6.32338244869
sheet,sheet,6.31956994177
excite,discuss,6.31913584445
quicken,discuss,6.31913584445
investments,discuss,6.31841324767
file,default,6.3085880884
subject,did,6.30708357719
report,report,6.30620392345
down,week,6.29381799442
contracts,said,6.29157470888
'd,like,6.21780663119
enron,wholesale,6.2162809055
contracts,'s,6.17282078058
mod,dbo,6.16363805555
epmi,epmi,6.16336211703
zufferli,john,6.15776104915
status,report,6.15688274859
enron,net,6.1289112964
last,year,6.1263386365
day,day,6.11362402569
time,time,6.07840650194
'm,sure,6.06559359851
state,budget,6.06373772508
state,california,6.03487987447
state,said,6.02333673422
mail,john,6.02135330454
's,said,6.00227313131
